Freq (Hz),Re,Im
4,-3.82E-10,-3.81E-10
4.035,-3.98E-10,-3.72E-10
4.07,-4.15E-10,-3.62E-10
4.105,-4.31E-10,-3.52E-10
4.14,-4.47E-10,-3.41E-10
4.175,-4.63E-10,-3.29E-10
4.21,-4.78E-10,-3.17E-10
4.245,-4.94E-10,-3.04E-10
4.28,-5.09E-10,-2.90E-10
4.315,-5.24E-10,-2.76E-10
4.35,-5.38E-10,-2.61E-10
4.385,-5.52E-10,-2.45E-10
4.42,-5.66E-10,-2.29E-10
4.455,-5.79E-10,-2.12E-10
4.49,-5.92E-10,-1.95E-10
4.525,-6.04E-10,-1.76E-10
4.56,-6.16E-10,-1.58E-10
4.595,-6.27E-10,-1.39E-10
4.63,-6.38E-10,-1.19E-10
4.665,-6.48E-10,-9.85E-11
4.7,-6.58E-10,-7.76E-11
4.735,-6.67E-10,-5.62E-11
4.77,-6.75E-10,-3.42E-11
4.805,-6.83E-10,-1.18E-11
4.84,-6.90E-10,1.11E-11
4.875,-6.96E-10,3.45E-11
4.91,-7.02E-10,5.83E-11
4.945,-7.07E-10,8.25E-11
4.98,-7.11E-10,1.07E-10
5.015,-7.14E-10,1.32E-10
5.05,-7.17E-10,1.58E-10
5.085,-7.22E-10,1.84E-10
5.12,-7.39E-10,2.15E-10
5.155,-7.56E-10,2.48E-10
5.19,-7.72E-10,2.83E-10
5.225,-7.87E-10,3.19E-10
5.26,-8.01E-10,3.56E-10
5.295,-8.15E-10,3.96E-10
5.33,-8.28E-10,4.37E-10
5.365,-8.39E-10,4.80E-10
5.4,-8.50E-10,5.25E-10
5.435,-8.59E-10,5.72E-10
5.47,-8.67E-10,6.20E-10
5.505,-8.74E-10,6.71E-10
5.54,-8.79E-10,7.23E-10
5.575,-8.82E-10,7.77E-10
5.61,-8.84E-10,8.33E-10
5.645,-8.83E-10,8.91E-10
5.68,-8.81E-10,9.51E-10
5.715,-8.77E-10,1.01E-09
5.75,-8.70E-10,1.08E-09
5.785,-8.60E-10,1.14E-09
5.82,-8.49E-10,1.21E-09
5.855,-8.34E-10,1.28E-09
5.89,-8.17E-10,1.35E-09
5.925,-7.96E-10,1.42E-09
5.96,-7.73E-10,1.49E-09
5.995,-7.46E-10,1.57E-09
6.03,-7.15E-10,1.65E-09
6.065,-6.81E-10,1.72E-09
6.1,-6.43E-10,1.80E-09
6.135,-6.01E-10,1.88E-09
6.17,-5.49E-10,1.99E-09
6.205,-4.80E-10,2.13E-09
6.24,-4.01E-10,2.27E-09
6.275,-3.11E-10,2.41E-09
6.31,-2.09E-10,2.56E-09
6.345,-9.38E-11,2.71E-09
6.38,3.52E-11,2.86E-09
6.415,1.79E-10,3.02E-09
6.45,3.38E-10,3.18E-09
6.485,5.14E-10,3.33E-09
6.52,7.07E-10,3.49E-09
6.555,9.19E-10,3.65E-09
6.59,1.15E-09,3.80E-09
6.625,1.40E-09,3.95E-09
6.66,1.67E-09,4.10E-09
6.695,1.97E-09,4.25E-09
6.73,2.29E-09,4.38E-09
6.765,2.63E-09,4.51E-09
6.8,3.00E-09,4.63E-09
6.835,3.39E-09,4.73E-09
6.87,3.81E-09,4.82E-09
6.905,4.26E-09,4.90E-09
6.94,4.73E-09,4.96E-09
6.975,5.24E-09,5.00E-09
7.01,5.77E-09,5.01E-09
7.045,6.34E-09,5.00E-09
7.08,6.93E-09,4.96E-09
7.115,7.56E-09,4.89E-09
7.15,8.22E-09,4.78E-09
7.185,8.91E-09,4.64E-09
7.22,9.62E-09,4.45E-09
7.255,1.04E-08,4.31E-09
7.29,1.13E-08,4.15E-09
7.325,1.22E-08,3.96E-09
7.36,1.31E-08,3.71E-09
7.395,1.41E-08,3.41E-09
7.43,1.51E-08,3.05E-09
7.465,1.62E-08,2.62E-09
7.5,1.74E-08,2.12E-09
7.535,1.86E-08,1.54E-09
7.57,1.99E-08,8.76E-10
7.605,2.12E-08,1.14E-10
7.64,2.25E-08,-7.50E-10
7.675,2.39E-08,-1.73E-09
7.71,2.54E-08,-2.82E-09
7.745,2.69E-08,-4.05E-09
7.78,2.85E-08,-5.42E-09
7.815,3.01E-08,-6.94E-09
7.85,3.18E-08,-8.63E-09
7.885,3.34E-08,-1.05E-08
7.92,3.52E-08,-1.25E-08
7.955,3.69E-08,-1.48E-08
7.99,3.87E-08,-1.73E-08
8.025,4.04E-08,-2.00E-08
8.06,4.22E-08,-2.29E-08
8.095,4.40E-08,-2.61E-08
8.13,4.57E-08,-2.96E-08
8.165,4.75E-08,-3.34E-08
8.2,4.91E-08,-3.75E-08
8.235,5.08E-08,-4.20E-08
8.27,5.23E-08,-4.68E-08
8.305,5.37E-08,-5.19E-08
8.34,5.30E-08,-5.62E-08
8.375,5.19E-08,-6.05E-08
8.41,5.06E-08,-6.49E-08
8.445,4.90E-08,-6.93E-08
8.48,4.72E-08,-7.38E-08
8.515,4.51E-08,-7.84E-08
8.55,4.27E-08,-8.30E-08
8.585,4.00E-08,-8.76E-08
8.62,3.69E-08,-9.22E-08
8.655,3.36E-08,-9.68E-08
8.69,3.00E-08,-1.01E-07
8.725,2.60E-08,-1.06E-07
8.76,2.17E-08,-1.10E-07
8.795,1.70E-08,-1.15E-07
8.83,1.19E-08,-1.19E-07
