link_id,start_node_id,end_node_id,type,length,maxmph,lanes,capacity,fft,start_osmid,end_osmid,geometry
0,190,226,secondary,135.4772225777442,25.0,2,2000,12.122176730922364,239617025_m,239617021_m,"LINESTRING (-122.269111 37.87842139999999, -122.2691603 37.87834949999998, -122.269103 37.8778418, -122.2690662 37.8775529, -122.2690042 37.87749114999998)"
1,170,169,secondary,455.0669352600021,25.0,2,2000,40.71829720642037,53095440_m,239616902_m,"LINESTRING (-122.2714082305397 37.88574314901354, -122.2718002 37.8862688, -122.2718264 37.88629210000001, -122.2719144 37.88637019999999, -122.2720085 37.8864723, -122.2721115 37.88660459999999, -122.2722182 37.8867784, -122.2722604 37.88687049999999, -122.2722903 37.8869626, -122.2723279 37.8871593, -122.272362415405 37.88877316713887)"
2,171,168,secondary,428.28154929695006,25.0,2,2000,38.32160515537279,53056337_m,99323189_m,"LINESTRING (-122.2757939767338 37.88873362948145, -122.2746883 37.8893013, -122.27467 37.8893066, -122.2732488 37.88972079999999, -122.2724628088398 37.89020069691496)"
3,168,169,secondary,311.4330847335864,25.0,2,2000,27.866284982557953,99323189_m,239616902_m,"LINESTRING (-122.2724628088398 37.89020069691496, -122.2718247 37.8898831, -122.2715891 37.8897833, -122.2715117 37.8897362, -122.2714697 37.8896963, -122.2714331 37.88964909999999, -122.2714148 37.88960429999999, -122.2714144 37.8895504, -122.2714297 37.889515, -122.2714601 37.8894736, -122.2714902 37.889442, -122.2715405 37.8894095, -122.2717133 37.8893313, -122.272001 37.8891991, -122.2720727 37.88916620000001, -122.272362415405 37.88877316713887)"
4,218,222,secondary,129.9420782310294,25.0,2,2000,11.626905299124756,53072264_m,53091866_m,"LINESTRING (-122.26880195 37.87570335, -122.2688205 37.87637290000001, -122.2688365 37.8765138, -122.2688407 37.87655099999999, -122.26890425 37.87660385)"
5,187,223,secondary,134.05320875475076,25.0,2,2000,11.994759391674087,239616965_m,53093350_m,"LINESTRING (-122.26859415 37.87387225, -122.268548 37.8739768, -122.2686368 37.8747376, -122.2686989 37.87479544999999)"
6,209,190,secondary,446.4848874490167,25.0,2,2000,39.95039616520814,53096092_m,239617025_m,"LINESTRING (-122.2699804445262 37.88147521017651, -122.269365 37.88016140000001, -122.26929 37.8795138, -122.2692758 37.8793824, -122.2692614 37.87924109999999, -122.2692235 37.878908, -122.2691869 37.8785771, -122.2691758 37.8784834, -122.269111 37.87842139999999)"
7,211,170,secondary,300.00427720659474,25.0,2,2000,26.8436627141808,53059845_m,53095440_m,"LINESTRING (-122.2710115 37.88367645, -122.2709618 37.8837513, -122.2710066 37.884134, -122.2710159 37.88420489999999, -122.2710705 37.8845024, -122.2711133 37.88474169999999, -122.2711559 37.88508319999999, -122.2712012 37.88542639999999, -122.2714082305397 37.88574314901354)"
8,168,171,secondary,428.28154929695,25.0,2,2000,38.32160515537278,99323189_m,53056337_m,"LINESTRING (-122.2724628088398 37.89020069691496, -122.2732488 37.88972079999999, -122.27467 37.8893066, -122.2746883 37.8893013, -122.2757939767338 37.88873362948145)"
9,218,223,secondary,132.1723817582017,25.0,2,2000,11.82646750600767,53072264_m,53093350_m,"LINESTRING (-122.26880195 37.87570335, -122.2688487 37.8756302, -122.2688156 37.87532899999999, -122.268761 37.87485559999999, -122.2686989 37.87479544999999)"
10,211,209,secondary,350.2266682137249,25.0,2,2000,31.337441727760392,53059845_m,53096092_m,"LINESTRING (-122.2710115 37.88367645, -122.2710623 37.8836074, -122.2710402 37.88340749999999, -122.2709844 37.88290169999999, -122.2709493 37.88258560000001, -122.2709303 37.88244759999999, -122.2708922 37.88235339999999, -122.2708642 37.88230209999999, -122.2708392 37.88225609999999, -122.2699804445262 37.88147521017651)"
11,209,211,secondary,342.4179070852257,25.0,2,2000,30.638732523008994,53096092_m,53059845_m,"LINESTRING (-122.2699804445262 37.88147521017651, -122.2703963 37.88199409999999, -122.2704083 37.8820026, -122.2705307 37.88210179999999, -122.2706041 37.8821761, -122.2706332 37.88220559999999, -122.2707079 37.8822949, -122.2707642 37.88238419999999, -122.2708125 37.8824864, -122.2708327 37.8826088, -122.2708604 37.88285429999999, -122.2709432 37.88358889999999, -122.2709469 37.88362179999999, -122.2710115 37.88367645)"
12,226,190,secondary,135.53671186282156,25.0,2,2000,12.127499689376805,239617021_m,239617025_m,"LINESTRING (-122.2690042 37.87749114999998, -122.2689583 37.87755439999999, -122.2689774 37.8777433, -122.2689923 37.87788070000001, -122.2689983 37.8779303, -122.269038 37.8782913, -122.2690415 37.87832039999999, -122.269046 37.878358, -122.269111 37.87842139999999)"
13,223,218,secondary,132.16256216237326,25.0,2,2000,11.82558887213997,53093350_m,53072264_m,"LINESTRING (-122.2686989 37.87479544999999, -122.2686519 37.8748686, -122.268696 37.8752563, -122.2687399 37.87564249999999, -122.26880195 37.87570335)"
14,170,211,secondary,297.13246292920854,25.0,2,2000,26.586699664994555,53095440_m,53059845_m,"LINESTRING (-122.2714082305397 37.88574314901354, -122.2712991 37.88541159999999, -122.2712101 37.8846722, -122.2711376 37.88420469999999, -122.2710776 37.8837355, -122.2710115 37.88367645)"
15,169,168,secondary,311.4330847335863,25.0,2,2000,27.866284982557943,239616902_m,99323189_m,"LINESTRING (-122.272362415405 37.88877316713887, -122.2720727 37.88916620000001, -122.272001 37.8891991, -122.2717133 37.8893313, -122.2715405 37.8894095, -122.2714902 37.889442, -122.2714601 37.8894736, -122.2714297 37.889515, -122.2714144 37.8895504, -122.2714148 37.88960429999999, -122.2714331 37.88964909999999, -122.2714697 37.8896963, -122.2715117 37.8897362, -122.2715891 37.8897833, -122.2718247 37.8898831, -122.2724628088398 37.89020069691496)"
16,222,226,secondary,127.81137493549862,25.0,2,2000,11.436255081928572,53091866_m,239617021_m,"LINESTRING (-122.26890425 37.87660385, -122.2688564 37.87668029999999, -122.2688963 37.8770322, -122.2689143 37.87718339999999, -122.2690042 37.87749114999998)"
17,223,187,secondary,133.95628896197283,25.0,2,2000,11.98608724122382,53093350_m,239616965_m,"LINESTRING (-122.2686989 37.87479544999999, -122.2687463 37.8747245, -122.2687303 37.87457970000001, -122.2687005 37.8743112, -122.2686776 37.8741172, -122.2686614 37.8739624, -122.26859415 37.87387225)"
18,226,222,secondary,127.92336725405563,25.0,2,2000,11.44627588581149,239617021_m,53091866_m,"LINESTRING (-122.2690042 37.87749114999998, -122.2689937 37.8768918, -122.2689889 37.8768471, -122.2689683 37.87666229999999, -122.26890425 37.87660385)"
19,190,209,secondary,450.1845552297211,25.0,2,2000,40.281433559022894,239617025_m,53096092_m,"LINESTRING (-122.269111 37.87842139999999, -122.2690618 37.8784944, -122.2691624 37.8793916, -122.2692453 37.8801333, -122.2692497 37.88017219999999, -122.2699804445262 37.88147521017651)"
20,222,218,secondary,129.85590439842372,25.0,2,2000,11.619194671400399,53091866_m,53072264_m,"LINESTRING (-122.26890425 37.87660385, -122.268954 37.8765412, -122.2689325 37.8763556, -122.2689263 37.87630240000001, -122.26880195 37.87570335)"
21,169,170,secondary,455.0669352600021,25.0,2,2000,40.71829720642037,239616902_m,53095440_m,"LINESTRING (-122.272362415405 37.88877316713887, -122.2723279 37.8871593, -122.2722903 37.8869626, -122.2722604 37.88687049999999, -122.2722182 37.8867784, -122.2721115 37.88660459999999, -122.2720085 37.8864723, -122.2719144 37.88637019999999, -122.2718264 37.88629210000001, -122.2718002 37.8862688, -122.2714082305397 37.88574314901354)"
22,124,104,tertiary,119.93215263183713,25.0,2,2000,10.73124118033047,53107080,53091826,"LINESTRING (-122.26053 37.876953, -122.2605439 37.87701499999999, -122.260656 37.87753299999999, -122.2606599 37.8775509, -122.2606982 37.87772810000001, -122.2607118 37.8777912)"
23,132,133,tertiary,255.7279378890498,25.0,2,2000,22.881922135261245,53115327,53115329,"LINESTRING (-122.2670835 37.8805156, -122.2670757 37.8804487, -122.2670655 37.88036079999999, -122.2670621 37.8803307, -122.2669963 37.87976190000001, -122.2669559 37.8794143, -122.2668824 37.87878000000001, -122.2668745 37.8787099)"
24,172,181,tertiary,296.3423390789507,25.0,2,2000,26.516001279170723,53036823_m,53075873_m,"LINESTRING (-122.2667664066537 37.88852056222974, -122.2667157 37.8888838, -122.2667221 37.8889986, -122.2667658 37.8891642, -122.2669631 37.8898294, -122.26717631843 37.89057897412075)"
25,64,190,tertiary,134.48743028105613,25.0,2,2000,12.03361249171623,53059866,239617025_m,"LINESTRING (-122.2703048 37.87827530000001, -122.2700486 37.8783063, -122.2698162 37.8783345, -122.2697808 37.8783388, -122.2695851 37.8783621, -122.2695309 37.87836949999999, -122.2692547 37.87840599999999, -122.269111 37.87842139999999)"
26,176,197,tertiary,179.5893210397771,25.0,2,2000,16.06922143226876,53026099_m,59794830_m,"LINESTRING (-122.2629523688507 37.87922039665357, -122.2645447521458 37.87901611623624)"
27,225,184,tertiary,452.9447127819982,25.0,2,2000,40.52840583242252,53086191_m,360532247_m,"LINESTRING (-122.27596485 37.8973484, -122.2759234 37.8972524, -122.2758612 37.8971592, -122.2758334 37.89706709999999, -122.2757984 37.8968016, -122.2757324 37.89648989999999, -122.2756862 37.8963146, -122.2755048 37.8958235, -122.275337 37.8953428, -122.2752532 37.8951615, -122.2751821 37.894977, -122.2751568 37.8949115, -122.2747704980382 37.89430032258242)"
28,188,149,tertiary,280.47922915611116,25.0,2,2000,25.096608274738855,53019168_m,53146068,"LINESTRING (-122.274725511274 37.8851939361722, -122.2744767 37.8847219, -122.2744409 37.88452439999999, -122.274411 37.8842541, -122.2743299 37.8835199, -122.2743078 37.88331929999999, -122.2743003 37.8832514)"
